   TIME[S]      V-OUT[V]     I-OUT[A]     V-SET[V]     I-SET[A]
 0002.386537  0009.900000  0000.000000  0010.000000  0000.400000
 0002.398110  0009.900000  0000.000000  0010.000000  0000.400000
 0002.409746  0009.900000  0000.000000  0010.000000  0000.400000
 0002.421339  0009.900000  0000.000000  0010.000000  0000.400000
 0002.433010  0010.000000  0000.000000  0010.000000  0000.400000
 0002.444782  0010.000000  0000.000000  0010.000000  0000.400000
 0002.456399  0009.900000  0000.000000  0010.000000  0000.400000
 0002.467895  0010.000000  0000.000000  0010.000000  0000.400000
 0002.479138  0009.900000  0000.000000  0010.000000  0000.400000
 0002.490379  0009.900000  0000.000000  0010.000000  0000.400000
 0002.501683  0010.000000  0000.000000  0010.000000  0000.400000
 0002.512954  0010.000000  0000.000000  0010.000000  0000.400000
 0002.524251  0010.000000  0000.000000  0010.000000  0000.400000
 0002.535667  0009.900000  0000.000000  0010.000000  0000.400000
 0002.546917  0009.900000  0000.000000  0010.000000  0000.400000
 0002.558268  0009.900000  0000.013000  0010.000000  0000.400000
 0002.569744  0009.900000  0000.000000  0010.000000  0000.400000
 0002.581000  0010.000000  0000.000000  0010.000000  0000.400000
 0002.592272  0010.000000  0000.000000  0010.000000  0000.400000
 0002.603427  0010.000000  0000.010000  0010.000000  0000.400000
 0002.615591  0010.000000  0000.000000  0010.000000  0000.400000
 0002.626907  0009.900000  0000.000000  0010.000000  0000.400000
 0002.638087  0009.900000  0000.008000  0010.000000  0000.400000
 0002.649431  0009.900000  0000.007000  0010.000000  0000.400000
 0002.660804  0009.900000  0000.000000  0010.000000  0000.400000
 0002.672137  0010.000000  0000.000000  0010.000000  0000.400000
 0002.683469  0009.900000  0000.000000  0010.000000  0000.400000
 0002.694663  0010.000000  0000.000000  0010.000000  0000.400000
 0002.705925  0010.000000  0000.000000  0010.000000  0000.400000
 0002.717221  0010.000000  0000.000000  0010.000000  0000.400000
 0002.728517  0010.000000  0000.000000  0010.000000  0000.400000
 0002.739807  0009.900000  0000.000000  0010.000000  0000.400000
 0002.751107  0009.900000  0000.008000  0010.000000  0000.400000
 0002.762406  0009.900000  0000.008000  0010.000000  0000.400000
 0002.773738  0009.900000  0000.000000  0010.000000  0000.400000
 0002.784986  0009.900000  0000.000000  0010.000000  0000.400000
 0002.796372  0010.000000  0000.000000  0010.000000  0000.400000
 0002.807631  0009.900000  0000.000000  0010.000000  0000.400000
 0002.818891  0010.000000  0000.000000  0010.000000  0000.400000
 0002.830063  0009.900000  0000.000000  0010.000000  0000.400000
 0002.841235  0009.900000  0000.000000  0010.000000  0000.400000
 0002.852557  0009.900000  0000.000000  0010.000000  0000.400000
 0002.864176  0009.900000  0000.000000  0010.000000  0000.400000
 0002.876066  0009.900000  0000.000000  0010.000000  0000.400000
 0002.887929  0010.000000  0000.000000  0010.000000  0000.400000
 0002.899527  0010.000000  0000.000000  0010.000000  0000.400000
 0002.911078  0009.900000  0000.000000  0010.000000  0000.400000
 0002.922779  0009.900000  0000.000000  0010.000000  0000.400000
 0002.934376  0009.900000  0000.000000  0010.000000  0000.400000
 0002.946033  0009.900000  0000.000000  0010.000000  0000.400000
 0002.957617  0009.900000  0000.000000  0010.000000  0000.400000
 0002.969251  0009.900000  0000.000000  0010.000000  0000.400000
 0002.980869  0009.900000  0000.000000  0010.000000  0000.400000
 0002.992676  0009.900000  0000.000000  0010.000000  0000.400000
 0003.004274  0009.900000  0000.000000  0010.000000  0000.400000
 0003.015828  0009.900000  0000.000000  0010.000000  0000.400000
 0003.027259  0009.900000  0000.000000  0010.000000  0000.400000
 0003.038616  0009.900000  0000.000000  0010.000000  0000.400000
 0003.049889  0009.900000  0000.000000  0010.000000  0000.400000
 0003.061205  0009.900000  0000.000000  0010.000000  0000.400000
 0003.072489  0009.900000  0000.000000  0010.000000  0000.400000
 0003.083766  0010.000000  0000.000000  0010.000000  0000.400000
 0003.095187  0009.900000  0000.000000  0010.000000  0000.400000
 0003.106497  0010.000000  0000.000000  0010.000000  0000.400000
 0003.117656  0009.900000  0000.000000  0010.000000  0000.400000
 0003.128814  0009.900000  0000.000000  0010.000000  0000.400000
 0003.139982  0009.900000  0000.000000  0010.000000  0000.400000
