Charge equilibration on step 0
  iteration: 17, enegtot 10.8036, enegmax 0.302804, fq deviation: 0.012175
  iteration: 18, enegtot 10.8038, enegmax 0.276562, fq deviation: 0.0114764
  iteration: 19, enegtot 10.8039, enegmax 0.23248, fq deviation: 0.0108916
  iteration: 20, enegtot 10.804, enegmax 0.223148, fq deviation: 0.0106402
  iteration: 21, enegtot 10.804, enegmax 0.224917, fq deviation: 0.0103855
  iteration: 22, enegtot 10.8041, enegmax 0.213873, fq deviation: 0.0102245
  iteration: 23, enegtot 10.8042, enegmax 0.19416, fq deviation: 0.0100531
  iteration: 24, enegtot 10.8042, enegmax 0.173484, fq deviation: 0.00979334
  iteration: 25, enegtot 10.8043, enegmax 0.156622, fq deviation: 0.00954036
  iteration: 26, enegtot 10.8043, enegmax 0.136466, fq deviation: 0.00931583
  iteration: 27, enegtot 10.8043, enegmax 0.122097, fq deviation: 0.00912252
  iteration: 28, enegtot 10.8043, enegmax 0.13668, fq deviation: 0.00870282
  iteration: 29, enegtot 10.8042, enegmax 0.145021, fq deviation: 0.00807927
  iteration: 30, enegtot 10.8042, enegmax 0.144367, fq deviation: 0.00758442
  iteration: 31, enegtot 10.8042, enegmax 0.135313, fq deviation: 0.00716181
  iteration: 32, enegtot 10.8042, enegmax 0.119573, fq deviation: 0.00687095
  iteration: 33, enegtot 10.8041, enegmax 0.0995228, fq deviation: 0.00654228
  iteration: 34, enegtot 10.8041, enegmax 0.077558, fq deviation: 0.00615079
  iteration: 35, enegtot 10.804, enegmax 0.0694867, fq deviation: 0.00592296
  iteration: 36, enegtot 10.804, enegmax 0.0706627, fq deviation: 0.00580177
  iteration: 37, enegtot 10.804, enegmax 0.0657506, fq deviation: 0.00559549
  iteration: 38, enegtot 10.804, enegmax 0.0637974, fq deviation: 0.00537791
  iteration: 39, enegtot 10.8039, enegmax 0.0624556, fq deviation: 0.00531677
  iteration: 40, enegtot 10.8039, enegmax 0.0579703, fq deviation: 0.00522929
  iteration: 41, enegtot 10.8039, enegmax 0.0611342, fq deviation: 0.00490244
  iteration: 42, enegtot 10.8039, enegmax 0.0606388, fq deviation: 0.00443118
  iteration: 43, enegtot 10.8039, enegmax 0.0563551, fq deviation: 0.00403353
  iteration: 44, enegtot 10.8039, enegmax 0.0528873, fq deviation: 0.00380629
  iteration: 45, enegtot 10.8039, enegmax 0.0521902, fq deviation: 0.00371103
  iteration: 46, enegtot 10.8039, enegmax 0.0494055, fq deviation: 0.0035949
  iteration: 47, enegtot 10.804, enegmax 0.0449848, fq deviation: 0.00343348
  iteration: 48, enegtot 10.804, enegmax 0.0393958, fq deviation: 0.00329122
  iteration: 49, enegtot 10.804, enegmax 0.0330819, fq deviation: 0.00322291
  iteration: 50, enegtot 10.804, enegmax 0.03139, fq deviation: 0.00307846
  iteration: 51, enegtot 10.804, enegmax 0.0297422, fq deviation: 0.00285202
  iteration: 52, enegtot 10.804, enegmax 0.027274, fq deviation: 0.00263375
  iteration: 53, enegtot 10.804, enegmax 0.0236193, fq deviation: 0.00251193
  iteration: 54, enegtot 10.804, enegmax 0.0233915, fq deviation: 0.00247354
  iteration: 55, enegtot 10.8041, enegmax 0.0230608, fq deviation: 0.00243099
  iteration: 56, enegtot 10.8041, enegmax 0.022075, fq deviation: 0.00231876
  iteration: 57, enegtot 10.8041, enegmax 0.0204349, fq deviation: 0.00217692
  iteration: 58, enegtot 10.8041, enegmax 0.0204236, fq deviation: 0.0020335
  iteration: 59, enegtot 10.8041, enegmax 0.0229878, fq deviation: 0.00192395
  iteration: 60, enegtot 10.8041, enegmax 0.0240605, fq deviation: 0.00179995
  iteration: 61, enegtot 10.8041, enegmax 0.0237211, fq deviation: 0.0017096
  iteration: 62, enegtot 10.804, enegmax 0.0222402, fq deviation: 0.00161631
  iteration: 63, enegtot 10.804, enegmax 0.0199832, fq deviation: 0.00154371
  iteration: 64, enegtot 10.804, enegmax 0.0172885, fq deviation: 0.00151181
  iteration: 65, enegtot 10.804, enegmax 0.0143765, fq deviation: 0.00147438
  iteration: 66, enegtot 10.804, enegmax 0.0133687, fq deviation: 0.00141489
  iteration: 67, enegtot 10.804, enegmax 0.0122179, fq deviation: 0.00133122
  iteration: 68, enegtot 10.804, enegmax 0.0111088, fq deviation: 0.00123538
  iteration: 69, enegtot 10.804, enegmax 0.0110423, fq deviation: 0.00115537
  iteration: 70, enegtot 10.804, enegmax 0.0105186, fq deviation: 0.00109964
  iteration: 71, enegtot 10.804, enegmax 0.00948744, fq deviation: 0.0010605
